중국의	중국/NNP + 의/JKG
샤오미는	샤오/NNG + 미/NNG + 는/JX
최근	최근/NNG
LG전자와	LG/NNP + 전자/NNG + 오/VX + 아/EF
화웨이를	화웨이/NNP + 를/JKO
제치고	제치/VV + 고/EC
세계	세계/NNG
3위	3/SN + 위/NNB
스마트폰	스마트폰/NNG
업체로	업체/NNG + 로/JKB
부상했다	부상하/VV + 았/EP + 다/EF
.	./SF
샤오미는	샤오/NNG + 미/NNG + 는/JX
모든	모든/MM
제품을	제품/NNG + 을/JKO
온라인에서만	온라인/NNG + 에서/JKB + 만/JX
판매하고	판매하/VV + 고/EC
있기	있/VX + 기/ETN
때문에	때문/NNB + 에/JKB
샤오미	샤오/NNG + 미/NNG
간판을	간판/NNG + 을/JKO
내건	내걸/VV + ㄴ/ETM
매장들은	매장/NNG + 들/XSN + 은/JX
모두	모두/MAG
짝퉁	짝/NNG + 퉁/NNG
업체라는	업체/NNG + 라는/ETM
것이다	것/NNB + 이다/EF
.	./SF
실제로	실제로/MAG
중국	중국/NNP
전역에는	전역/NNG + 에/JKB + 는/JX
샤오미의	샤오/NNG + 미/NNG + 의/JKG
상호를	상호/NNG + 를/JKO
달고	달/VX + 고/EC
모방	모방/NNG
제품을	제품/NNG + 을/JKO
판매하는	판매하/VV + 는/ETM
업체들이	업체/NNG + 들/XSN + 이/JKS
우후죽순	우후죽순/NNG
생긴	생기/VV + ㄴ/ETM
것으로	것/NNB + 으로/JKB
전해졌다	전하/VV + 아/EC + 지/VX + 었/EP + 다/EF
.	./SF
BGR은	BGR/SL + 은/JX
샤오미가	샤오/NNG + 미/NNG + 가/JKS
'	'/SS
짝퉁	짝/NNG + 퉁/NNG
샤오미	샤오/NNG + 미/NNG
'	'/SS
확산	확산/NNG
차단에	차단/NNG + 에/JKB
나선	나선/NNG
것을	것/NNB + 을/JKO
두고	두/VV + 고/EC
자업자득이라고	자업자득/NNG + 이/VCP + 라고/EC
평가했다	평가하/VV + 았/EP + 다/EF
.	./SF
그러면서	그러면/MAJ + 서/JKB
다른	다른/MM
짝퉁	짝/NNG + 퉁/NNG
스마트폰	스마트폰/NNG
제조업체인	제조/NNG + 업체/NNG + 이/VCP + ㄴ/ETM
구폰	구/NNG + 폰/NNG
(	(/SS
Goophone	Goophone/SL
)	)/SS
역시	역시/MAG
조만간	조만간/MAG
자사	자사/NNG
모방	모방/NNG
제품을	제품/NNG + 을/JKO
사지	사지/NNG
말아	말/VV + 아/EC
달라고	달/VX + 라고/EC
나설	나서/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
예상된다며	예상되/VV + ㄴ다며/EC
중국	중국/NNP
제조사들의	제조사/NNG + 들/XSN + 의/JKG
'	'/SS
짝퉁	짝/NNG + 퉁/NNG
전략	전략/NNG
'	'/SS
을	을/JKO
우회적으로	우회/NNG + 적/XSN + 으로/JKB
꼬집었다	꼬집/VV + 었/EP + 다/EF
.	./SF
이에	이/NP + 에/JKB
대해	대하/VV + 어/EC
국내	국내/NNG
업계	업계/NNG
관계자는	관계자/NNG + 는/JX
"	"/SS
애플	애플/NNP
모방	모방/NNG
제품의	제품/NNG + 의/JKG
박리다매	박리다매/NNG
전략으로	전략/NNG + 으로/JKB
성공을	성공/NNG + 을/JKO
거둔	거두/VV + ㄴ/ETM
샤오미가	샤오/NNG + 미/NNG + 가/JKS
'	'/SS
후발	후발/NNG
'	'/SS
짝퉁업체의	짝/NNG + 퉁/NNG + 업체/NNG + 의/JKG
도전에	도전/NNG + 에/JKB
고생하는	고생하/VV + 는/ETM
역설적인	역설/NNG + 적/XSN + 이/VCP + ㄴ/ETM
현상이	현상/NNG + 이/JKS
벌어지고	벌어지/VV + 고/EC
있다	있/VX + 다/EF
"	"/SS
고	고/JKQ
평가했다	평가하/VV + 았/EP + 다/EF
.	./SF
한편	한편/NNG
,	,/SP
샤오미는	샤오/NNG + 미/NNG + 는/JX
이날	이날/NNG
주력	주력/NNG
스마트폰	스마트폰/NNG
새	새/MM
모델을	모델/NNG + 을/JKO
출시할	출시하/VV + ㄹ/ETM
예정이다	예정/NNG + 이다/EF
.	./SF
샤오미는	샤오/NNG + 미/NNG + 는/JX
지난	지나/VV + ㄴ/ETM
13일	13/SN + 일/NNB
자사	자사/NNG
페이스북에	페이스북/NNP + 에/JKB
'	'/SS
_	_/SO
_	_/SO
_	_/SO
_	_/SO
_	_/SO
is	is/SL
better	better/SL
than	than/SL
one	one/SL
'	'/SS
라는	라는/EC
문구를	문구/NNG + 를/JKO
내걸고	내걸/VV + 고/EC
현지	현지/NNG
시각으로	시각/NNG + 으로/JKB
15일	15/SN + 일/NNB
오후	오후/NNG
2시에	2/SN + 시/XSN + 에/JKB
새	새/VV
스마트폰	스마트폰/NNG
출시	출시/NNG
행사를	행사/NNG + 를/JKO
연다고	연/NNG + 다고/EC
밝혔다	밝히/VV + 었/EP + 다/EF
.	./SF
샤오미의	샤오/NNG + 미/NNG + 의/JKG
새	새/NNG
스마트폰의	스마트폰/NNG + 의/JKG
이름은	이름/NNG + 은/JX
'	'/SS
Mi5	Mi/SL + 5/SN
'	'/SS
가	가/NNG
될	되/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
예상되는	예상되/VV + 는/ETM
가운데	가운데/NNG
애플의	애플/NNP + 의/JKG
아이폰처럼	아이폰/NNP + 처럼/JKB
Mi4S	Mi/SL + 4/SN + S/SL
또는	또/MAG + 는/JX
Mi4플러스	Mi/SL + 4/SN + 플러스/NNG
모델명을	모델명/NNG + 을/JKO
달고	달/VX + 고/EC
출시될	출시되/VV + ㄹ/ETM
것이라는	것/NNB + 이/VCP + 라는/ETM
추측도	추측/NNG + 도/JX
나온다	나오/VV + ㄴ다/EF
.	./SF
가능성은	가능/NNG + 성/XSN + 은/JX
희박하지만	희박/XR + 하/VV + 지만/EC
만일	만일/NNG
그렇다면	그렇/VA + 다면/EC
스마트폰	스마트폰/NNG
이름짓기조차도	이름/NNG + 짓/VV + 기/ETN + 조차/JX + 도/JX
애플의	애플/NNP + 의/JKG
전략을	전략/NNG + 을/JKO
베끼는	베끼/VV + 는/JX
셈이	셈/NNG + 이/JKS
된다	되/VV + ㄴ다/EF
.	./SF
샤오미는	샤오/NNG + 미/NNG + 는/JX
14일	14/SN + 일/NNB
공식	공식/NNG
온라인샵	온라인/NNG + 샵/NNG
페이스북	페이스북/NNP
계정에	계정/NNG + 에/JKB
'	'/SS
明天見	明天見/SH
,	,/SP
NOT	NOT/SL
5	5/SN
'	'/SS
(	(/SS
내일	내일/MAG
출시	출시/NNG
,	,/SP
하지만	하지만/MAJ
5는	5/SN + 는/JX
아니다	아니/VCN + 다/EF
)	)/SS
라는	라는/EC
문구가	문구/NNG + 가/JKS
적힌	적히/VV + ㄴ/ETM
광고	광고/NNG
포스터를	포스터/NNG + 를/JKO
올려	올리/VV + 어/EC
새	새/MM
모델명에	모델명/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
궁금증을	궁금증/NNG + 을/JKO
자극했다	자극하/VV + 았/EP + 다/EF
.	./SF
대설	대설/NNG
경보라도	경보/NNG + 라도/EC
내린	내리/VV + ㄴ/ETM
듯	듯/NNB
문자가	문자/NNG + 가/JKS
푹푹	푹푹/MAG
쌓인다	쌓이/VV + ㄴ다/EF
.	./SF
수백	수백/NR
개로	개/NNB + 로/JKB
늘어난	늘어나/VV + ㄴ/ETM
트위터	트위터/NNP
쪽지	쪽지/NNG
창은	창/NNG + 은/JX
다닥다닥	다닥다닥/MAG
줄지어	주/VV + ㄹ지/EC + 어/EC
늘어선	늘어서/VV + ㄴ/ETM
