"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","유비","신","형님","조","역적","아우","것","하다","아버님","위병"
"2","원소","공명","저","황숙","동탁","자네","나","되다","좋","사마"
"3","여포를","영채","형","유비","태사","공명","한","없","채","선제"
"4","동탁","폐하","무엇","공명","칼","비","수","같","곳","뒤"
"5","허도로","천","승상","형주를","노래","선생","군사","저","서다","그곳"
"6","투항","촉병이","분","대","어떤가","잃다","일","가다","번성","유예"
"7","낙양","너희들","형수","선생","공의","아들","조","오다","뺏다","가정"
"8","도모","군량","님","오후","제후","기","사람","보다","부리다","다음"
"9","원상","밤","맹세","못하다","누구","세상","우리","승상","주유","산골짜기"
"10","투항하다","촉","명공","자","너","어머니","내","죽다","나가다","기세"
"11","여포가","1","아우","결정","사","로운","그","알다","영채","당부"
"12","공손","중원","부인","경","하늘","용맹","이","죽이다","방덕과","장사"
"13","복병","보리","황숙","화친","참","군","말","싸우다","숙부","물"
"14","어미","오","고향","화","생각","선비","들","보내다","정보","오랑캐"
"15","천자","강유","안량과","의논","어떠시오","손","두","못하다","서황은","목우"
