"","x"
"1","자"
"2","하"
"3","이르"
"4","꾸미"
"5","보태"
"6","이기"
"7","담그"
"8","나아가"
"9","되돌"
"10","지나가"
"11","스러지"
"12","돌이키"
"13","길"
"14","나가"
"15","버리"
"16","어지럽히"
"17","알"
"18","흐르"
"19","느끼"
"20","깨어나"
"21","벗어나"
"22","미치"
"23","빠지"
"24","돌아가"
"25","생각하"
"26","속"
"27","헤매"
"28","때가"
"29","오"
"30","말하"
"31","이지러지"
"32","줄"
"33","늘어나"
"34","바뀌"
"35","달라지"
"36","보"
"37","나오"
"38","잘하"
"39","치우치"
"40","내세우"
"41","떼"
"42","짓"
"43","값하"
"44","물"
"45","갈음하"
"46","뒤덮이"
"47","모르"
"48","견주"
"49","앉"
"50","서"
"51","보내"
"52","지나"
"53","비"
"54","자르"
"55","나뉘"
"56","다투"
"57","겨루"
"58","꾀"
"59","돌아보"
"60","살아가"
"61","믿"
"62","두"
"63","펴"
"64","기뻐하"
"65","슬퍼하"
"66","성내"
"67","나서"
"68","시달리"
"69","죽"
"70","지니"
"71","위하"
"72","미루"
"73","살피"
"74","그르"
"75","일어나"
"76","쓰"
"77","앞서"
"78","옮기"
"79","본뜨"
"80","굽이치"
"81","부딪치"
"82","부서지"
"83","씻기"
"84","가"
"85","나"
"86","찾"
"87","뜨"
"88","세"
"89","새"
"90","만나"
"91","웃"
"92","나누"
"93","붙이"
"94","비키"
"95","원하"
"96","얻"
"97","의지하"
"98","되"
"99","밝"
"100","치"
"101","헤"
"102","근심하"
"103","참되"
"104","쌓"
"105","비례하"
"106","열"
"107","허기지"
"108","찾아가"
"109","헐벗"
"110","굶주리"
"111","만들"
"112","사"
"113","요란하"
"114","썩"
"115","더럽히"
"116","속이"
"117","흘리"
"118","끝나"
"119","벼슬하"
"120","불리"
"121","기울어지"
"122","떠나"
"123","돌아오"
"124","바라지"
"125","유명하"
"126","물러나"
"127","은거하"
"128","가르치"
"129","받"
"130","아끼"
"131","부르"
"132","이어지"
"133","퍼지"
"134","번지"
"135","남"
"136","물려받"
"137","까지"
"138","말"
"139","듣"
"140","배우"
"141","통하"
"142","들"
"143","정밀하"
"144","얽매이"
"145","즐기"
"146","숭상하"
"147","때"
"148","응하"
"149","겸하"
"150","인정되"
"151","평정하"
"152","얽"
"153","정진하"
"154","찾아오"
"155","그러"
"156","일으키"
"157","닫"
"158","삼"
"159","잇"
"160","빼앗"
"161","희롱하"
"162","깨닫"
"163","흩어지"
"164","반문하"
"165","벗"
"166","못하"
"167","보이"
"168","압도하"
"169","추"
"170","낮추"
"171","울리"
"172","들리"
"173","한미하"
"174","태어나"
"175","주"
"176","식"
"177","알아보"
"178","넘"
"179","전념하"
"180","따르"
"181","따지"
"182","늘"
"183","우하"
"184","싸고돌"
"185","갖"
"186","저지르"
"187","단순하"
"188","더불"
"189","무너지"
"190","시작되"
"191","참여하"
"192","당하"
"193","자라나"
"194","흔들리"
"195","적"
"196","잡"
"197","죽이"
"198","봉하"
"199","자살하"
"200","무르"
"201","걸치"
"202","내몰"
"203","둘러쌓이"
"204","대"
"205","득실거리"
"206","기대"
"207","끼치"
"208","권하"
"209","팔"
"210","뽑"
"211","갚"
"212","가혹하"
"213","짐작하"
"214","내리"
"215","타이르"
"216","드러나"
"217","다스리"
"218","의하"
"219","합치"
"220","짓무르"
"221","겪"
"222","풀"
"223","잡아들이"
"224","떼보"
"225","막히"
"226","헤아리"
"227","입"
"228","다물"
"229","잠기"
"230","주고받"
"231","하명하"
"232","줄이"
"233","숨"
"234","이상하"
"235","겸손하"
"236","들여다보"
"237","꼬"
"238","늘어지"
"239","돌"
"240","서리"
"241","거치"
"242","우러나"
"243","일어서"
"244","닿"
"245","더하"
"246","전하"
"247","자리잡"
"248","뽑히"
"249","지내"
"250","자라"
"251","짜"
"252","돕"
"253","때우"
"254","터놓"
"255","사귀"
"256","읽"
"257","바라보"
"258","뜯어보"
"259","끼어들"
"260","힘쓰"
"261","매달리"
"262","이해하"
"263","맞추"
"264","들려"
"265","몰리"
"266","대하"
"267","샘솟"
"268","닦"
"269","다듬"
"270","담"
"271","만하"
"272","이루어지"
"273","굳히"
"274","떠오르"
"275","거두어들이"
"276","가지"
"277","행세하"
"278","불어나"
"279","만족하"
"280","생기"
"281","얕보"
"282","넘보"
"283","대답하"
"284","관하"
"285","시작하"
"286","무심하"
"287","기울이"
"288","기다리"
"289","홀리"
"290","알아차리"
"291","누르"
"292","이것"
"293","떨어지"
"294","놀라"
"295","빗대"
"296","뒤집히"
"297","엿보"
"298","가리키"
"299","틀리"
"300","번갈"
"301","형언하"
"302","서두르"
"303","혼탁하"
"304","참혹하"
"305","막"
"306","뿌리"
"307","화나"
"308","완벽하"
"309","제치"
"310","벌"
"311","꾸짖"
"312","읊조리"
"313","필요하"
"314","실천하"
"315","끄"
"316","기르"
"317","요사하"
"318","시키"
"319","깨우치"
"320","불측하"
"321","흩"
"322","보살피"
"323","맺"
"324","겁먹"
"325","더듬거리"
"326","중요하"
"327","솟"
"328","털어놓"
"329","어쩌"
"330","돌려보내"
"331","채우"
"332","들어서"
"333","손꼽"
"334","구하"
"335","떠보"
"336","정하"
"337","치르"
"338","준비하"
"339","마련하"
"340","밝히"
"341","돌리"
"342","획하"
"343","잊"
"344","동문수학하"
"345","머물"
"346","멀"
"347","추천하"
"348","새기"
"349","들어주"
"350","우러러보"
"351","소개하"
"352","기리"
"353","세우"
"354","천거하"
"355","청하"
"356","허락하"
"357","맞"
"358","조르"
"359","내려오"
"360","쏘"
"361","훑어보"
"362","아뢰"
"363","모이"
"364","다니"
"365","가보"
"366","존경하"
"367","표하"
"368","축하하"
"369","빚"
"370","데리"
"371","복작거리"
"372","얽히"
"373","변하"
"374","울"
"375","올리"
"376","힘주"
"377","파하"
"378","당부하"
"379","말리"
"380","모으"
"381","도와주"
"382","유력하"
"383","밀"
"384","전송하"
"385","찾아보"
"386","해어지"
"387","뵙"
"388","빠져들"
"389","앞당기"
"390","비하"
"391","좁히"
"392","잃"
"393","모시"
"394","움직이"
"395","해지"
"396","헤어지"
"397","들이"
"398","가로막히"
"399","날래"
"400","달리"
"401","달려오"
"402","끝내"
"403","넘나"
"404","새겨듣"
"405","불행하"
"406","헤치"
"407","향하"
"408","배웅하"
"409","뺏기"
"410","가로막"
"411","둘러보"
"412","신"
"413","걷"
"414","건너"
"415","차"
"416","젖"
"417","불"
"418","피우"
"419","떨리"
"420","녹이"
"421","귀담"
"422","짚"
"423","다리"
"424","배"
"425","늙"
"426","업"
"427","건네"
"428","부수"
"429","없애"
"430","거슬리"
"431","건너오"
"432","들어가"
"433","건너가"
"434","부리"
"435","들쳐업"
"436","후들거리"
"437","내려놓"
"438","내쉬"
"439","나무라"
"440","쳐다보"
"441","유건하"
"442","소리치"
"443","다녀오"
"444","괴롭히"
"445","지체하"
"446","저물"
"447","달래"
"448","다그치"
"449","나르"
"450","넘겨짚"
"451","얻어걸리"
"452","던지"
"453","줍"
"454","내"
"455","되풀이되"
"456","참"
"457","쏘아보"
"458","잃어버리"
"459","뿜"
"460","개"
"461","빚지"
"462","모자라"
"463","돌보"
"464","일하"
"465","묻"
"466","쓸"
"467","안되"
"468","뚫어지"
"469","일"
"470","가다듬"
"471","살"
"472","줄잡"
"473","거스르"
"474","끼"
"475","드나들"
"476","늦"
"477","섞이"
"478","고르"
"479","먹이"
"480","치장하"
"481","옮"
"482","알아내"
"483","탄식하"
"484","바꾸"
"485","품"
"486","바로잡"
"487","편안하"
"488","이루"
"489","부족하"
"490","높이"
"491","오르"
"492","쓰다듬"
"493","평안하"
"494","받들"
"495","토벌하"
"496","평온하"
"497","누리"
"498","키우"
"499","여기"
"500","영락하"
"501","털"
"502","빌리"
"503","다하"
"504","캐"
"505","꺾"
"506","마치"
"507","떠나가"
"508","뒤따르"
"509","뒤돌아보"
"510","덧붙이"
"511","따라가"
"512","돌아서"
"513","말라죽"
"514","지"
"515","붙"
"516","뻗"
"517","돋"
"518","올려다보"
"519","응시하"
"520","되새기"
"521","얼어붙"
"522","끄덕이"
"523","더듬"
"524","꺼내"
"525","찢"
"526","뛰"
"527","달려가"
"528","멈추"
"529","날"
"530","으스대"
"531","보아주"
"532","넣"
"533","그만두"
"534","먹"
"535","썩이"
"536","싸이"
"537","알리"
"538","조이"
"539","오래되"
"540","마르"
"541","가까워"
"542","눕"
"543","엎드리"
"544","긷"
"545","떨치"
"546","벌이"
"547","노래"
"548","띄"
"549","여위"
"550","찢어지"
"551","번득이"
"552","비정하"
"553","성나"
"554","짓지"
"555","천진하"
"556","흘러내리"
"557","덮이"
"558","천거되"
"559","들이켜"
"560","벌어지"
"561","넘어가"
"562","상하"
"563","노하"
"564","때려죽이"
"565","관련되"
"566","복직되"
"567","내치"
"568","내리치"
"569","욕하"
"570","어울리"
"571","충실하"
"572","올라오"
"573","따라오"
"574","기식하"
"575","그라"
"576","몰두하"
"577","배반하"
"578","무안하"
"579","살펴보"
"580","즉위하"
"581","섬기"
"582","그릇되"
"583","바치"
"584","탄핵하"
"585","받아들이"
"586","원망하"
"587","계승하"
"588","빼치"
"589","성공하"
"590","기록되"
"591","부인하"
"592","드러내"
"593","놓"
"594","뱉"
"595","들려주"
"596","나약하"
"597","쳐가"
"598","그리"
"599","뜯"
"600","반기"
"601","살아나"
"602","낡"
"603","부패하"
"604","반응하"
"605","벌서"
"606","떨"
"607","옹호하"
"608","나타나"
"609","기"
"610","극단하"
"611","탈주하"
"612","겸비하"
"613","도전하"
"614","선택하"
"615","타도하"
"616","앞장서"
"617","분류하"
"618","참가하"
"619","가담하"
"620","충동되"
"621","진행되"
"622","버티"
"623","반격하"
"624","입히"
"625","수용되"
"626","유일하"
"627","가로채이"
"628","뒤엎"
"629","확보되"
"630","답습하"
"631","쓰러뜨리"
"632","최소하"
"633","꿈꾸"
"634","실현하"
"635","따라붙"
"636","끌어대"
"637","앞세우"
"638","다짐하"
"639","까"
"640","절망하"
"641","말살하"
"642","이용하"
"643","사로잡"
"644","내려지"
"645","확보하"
"646","청산하"
"647","임명되"
"648","업신여기"
"649","어기"
"650","떨어뜨리"
"651","용서하"
"652","시행하"
"653","인하"
"654","공격하"
"655","욕되"
"656","일깨우"
"657","깔보"
"658","요구하"
"659","이름나"
"660","평하"
"661","쫓겨나"
"662","내려가"
"663","누비"
"664","싸"
"665","남기"
"666","뵈"
"667","취하"
"668","통쾌하"
"669","말씀하"
"670","달이"
"671","휩쓸"
"672","연루되"
"673","때맞추"
"674","물러가"
"675","준수하"
"676","넘기"
"677","어그러지"
"678","분방하"
"679","떠올리"
"680","유혹하"
"681","시집가"
"682","훔치"
"683","겁탈하"
"684","확인하"
"685","지르"
"686","헝클어지"
"687","풀어지"
"688","뛰어다니"
"689","외치"
"690","잔인하"
"691","치솟"
"692","풀어헤치"
"693","쫓기"
"694","쳐들어오"
"695","끊"
"696","타"
"697","기절하"
"698","손대"
"699","몰려오"
"700","팽개치"
"701","끌어내리"
"702","잡히"
"703","휘어잡"
"704","박히"
"705","깨"
"706","끊어지"
"707","회상하"
"708","거대하"
"709","휘몰리"
"710","놀리"
"711","견디"
"712","휘몰"
"713","비치"
"714","연습하"
"715","내던지"
"716","쓰러지"
"717","까뒤집"
"718","물리"
"719","버둥거리"
"720","뛰어들어가"
"721","고하"
"722","열중하"
"723","앓"
"724","지어내"
"725","의아하"
"726","지키"
"727","미안하"
"728","다시"
"729","중얼거리"
"730","침착하"
"731","좋아하"
"732","경박하"
"733","되돌아보"
"734","떠나오"
"735","인정하"
"736","뒤틀리"
"737","비뚤어지"
"738","곤란하"
"739","빠트리"
"740","박"
"741","처지"
"742","시기하"
"743","때려"
"744","불러들이"
"745","계시"
"746","베"
"747","푸"
"748","살리"
"749","대신하"
"750","숨기"
"751","내뱉"
"752","받치"
"753","쓸어버리"
"754","채"
"755","감추"
"756","마시"
"757","허물"
"758","감격하"
"759","싫어하"
"760","내가"
"761","격"
"762","들어오"
"763","수습되"
"764","직감하"
"765","무르익"
"766","걱정하"
"767","동정하"
"768","놀아나"
"769","무능하"
"770","매도하"
"771","억누르"
"772","동조하"
"773","물려주"
"774","내주"
"775","그치"
"776","입관하"
"777","양보하"
"778","넘어오"
"779","중시하"
"780","쌓이"
"781","택하"
"782","끌리"
"783","우러르"
"784","믿기"
"785","지적하"
"786","해석하"
"787","뒤바꾸"
"788","계속하"
"789","들어맞"
"790","굶"
"791","병들"
"792","가리"
"793","덜"
"794","발전하"
"795","면하"
"796","강개하"
"797","쳐들"
"798","쾌차하"
"799","토로하"
"800","바탕하"
"801","맺히"
"802","졸"
"803","제하"
"804","당기"
"805","타고나"
"806","유인하"
"807","쉬"
"808","잠들"
"809","문란하"
"810","물들이"
"811","쏟아지"
"812","감기"
"813","꾸"
"814","두려워하"
"815","위로하"
"816","낳"
"817","안심하"
"818","물리치"
"819","바라"
"820","빼"
"821","내버리"
"822","도망치"
"823","추격하"
"824","말미암"
"825","가입하"
"826","칭하"
"827","선동하"
"828","깨뜨리"
"829","상주하"
"830","제수하"
"831","이끌"
"832","감당하"
"833","약탈하"
"834","골"
"835","건드리"
"836","요청하"
"837","내놓"
"838","늘리"
"839","실시되"
"840","긁"
"841","담당하"
"842","거느리"
"843","가임하"
"844","정비되"
"845","북상하"
"846","들르"
"847","살아남"
"848","간하"
"849","출발하"
"850","구상하"
"851","대항하"
"852","끌어내"
"853","신중하"
"854","접근하"
"855","뒤따라오"
"856","우거지"
"857","끌어당기"
"858","고치"
"859","피어오르"
"860","정돈하"
"861","닥쳐오"
"862","벌어"
"863","모집하"
"864","떠돌"
"865","막하"
"866","흩트리"
"867","사양하"
"868","순수하"
"869","의탁하"
"870","뛰어오르"
"871","꼬나"
"872","쥐"
"873","갖추"
"874","기력하"
"875","채이"
"876","끌"
"877","감돌"
"878","쳐내"
"879","에워싸"
"880","말려들"
"881","걸려들"
"882","자중하"
"883","격동하"
"884","두려워"
"885","뛰쳐나오"
"886","뭉개"
"887","명하"
"888","긁어내"
"889","달아나"
"890","황홀하"
"891","가늠하"
"892","백배하"
"893","뒤쫓"
"894","얕잡"
"895","비껴들"
"896","닥치"
"897","자랑하"
"898","휘두르"
"899","뛰어들"
"900","익"
"901","줄어들"
"902","우세하"
"903","데"
"904","고함지르"
"905","싸우"
"906","내달"
"907","맞대"
"908","피하"
"909","낚아채"
"910","몰려들"
"911","밀리"
"912","짓밟"
"913","걸어오"
"914","찌르"
"915","물러서"
"916","몰아가"
"917","내지르"
"918","다가오"
"919","춤추"
"920","맞붙"
"921","뛰어나"
"922","협격하"
"923","굴러"
"924","동요하"
"925","밀어붙이"
"926","내닫"
"927","쫓"
"928","틀어막"
"929","엎"
"930","빌"
"931","항복하"
"932","남아나"
"933","열리"
"934","쇠"
"935","뚫"
"936","날뛰"
"937","놓치"
"938","거두"
"939","치하하"
"940","가난하"
"941","범용하"
"942","벗하"
"943","가까이하"
"944","익히"
"945","반하"
"946","아앉"
"947","기어오르"
"948","꺼리"
"949","엮"
"950","후회하"
"951","들킬"
"952","뀌"
"953","그르치"
"954","출사하"
"955","관장하"
"956","돌아다니"
"957","과하"
"958","얹"
"959","실패하"
"960","방심하"
"961","망보"
"962","투입하"
"963","들이치"
"964","섬멸하"
"965","대로하"
"966","가능하"
"967","수습하"
"968","개선하"
"969","쳐부수"
"970","패하"
"971","고생하"
"972","성실하"
"973","빼앗기"
"974","천박하"
"975","들뜨"
"976","간청하"
"977","출가하"
"978","따"
"979","여의"
"980","해되"
"981","행하"
"982","뜻하"
"983","맡기"
"984","맹세하"
"985","씻"
"986","어찌하"
"987","못나"
"988","염려하"
"989","빚어지"
"990","진압하"
"991","비우"
"992","놀"
"993","합심하"
"994","드리"
"995","겸양하"
"996","거들"
"997","대꾸하"
"998","토하"
"999","불사르"
"1000","분개하"
"1001","상심하"
"1002","사라지"
"1003","깃들"
"1004","무찌르"
"1005","대담하"
"1006","내걸"
"1007","묶이"
"1008","풀려나"
"1009","고변하"
"1010","내디디"
"1011","불러오"
"1012","웅얼거리"
"1013","부탁하"
"1014","낫"
"1015","끓"
"1016","흘러가"
"1017","침략하"
"1018","뒤덮"
"1019","폐하"
"1020","접어들"
"1021","째지"
"1022","메"
"1023","숙"
"1024","얼"
"1025","천하"
"1026","도맡"
"1027","꺼지"
"1028","들고나"
"1029","딸리"
"1030","앗"
"1031","뽐내"
"1032","그러잖"
"1033","난폭하"
"1034","질리"
"1035","매"
"1036","불안하"
"1037","눈감"
"1038","옭"
"1039","교유하"
"1040","살아오"
"1041","행사하"
"1042","나타내"
"1043","의존하"
"1044","정당하"
"1045","위압하"
"1046","응용하"
"1047","보완되"
"1048","능가하"
"1049","장악하"
"1050","금지하"
"1051","범하"
"1052","곽하"
"1053","지켜"
"1054","조정되"
"1055","끼여들"
"1056","설득하"
"1057","노리"
"1058","우려하"
"1059","터지"
"1060","부딪"
"1061","둘러서"
"1062","자나"
"1063","뭉치"
"1064","부릅뜨"
"1065","곤두서"
"1066","받아치"
"1067","드리우"
"1068","잘못되"
"1069","덤비"
"1070","받아넘기"
"1071","꿈틀거리"
"1072","후비"
"1073","밀어내"
"1074","후리"
"1075","차리"
"1076","다가들"
"1077","긋"
"1078","되살리"
"1079","빼들"
"1080","때리"
"1081","씩씩거리"
"1082","흘겨보"
"1083","고명하"
"1084","덮치"
"1085","가만있"
"1086","단속하"
"1087","팔리"
"1088","빌려주"
"1089","간여하"
"1090","이러"
"1091","달려들"
"1092","궁하"
"1093","탓하"
"1094","들추"
"1095","꽂"
"1096","절"
"1097","이다"
"1098","고쳐"
"1099","미워하"
"1100","노려보"
"1101","책망하"
"1102","깨지"
"1103","답례하"
"1104","마지못하"
"1105","제의하"
"1106","금하"
"1107","내키"
"1108","건네주"
"1109","지나치"
"1110","불붙"
"1111","성숙하"
"1112","심"
"1113","불러일으키"
"1114","저항하"
"1115","깔리"
"1116","거역하"
"1117","손되"
"1118","뺏"
"1119","두르"
"1120","망설이"
"1121","썰"
"1122","바르"
"1123","트"
"1124","빨"
